EVENT,FOR,WHERE,CITY,STATE,DAY,DATE,CREATED
Grand Opening,Flow With The Go Grand Opening,Flow With The Go Jiu Jitsu,Seabrook,NH,Saturday,01/24/2026,
Open House,Promotion + Anniv Party,Gracie Litchfield Hills,Torrington,CT,Saturday,01/24/2026,
Open House,SBG East Coast Open House,SBG East Coast,Dartmouth,MA,Saturday,01/24/2026,
Women's Only,Women’s Only Open Mat,Gate City MMA,Nashua,NH,Sunday,01/25/2026,
Open Mat,Spar Club Open Sparring,Iron Lion Team,Bridgeport,CT,Sunday,01/25/2026,
Seminar,Walter Cotito,Elements MMA,Keene,NH,Friday,01/30/2026,
Seminar,Justin “JFLO” Flores,Summit Jiu Jitsu,Stamford,CT,Friday,01/30/2026,
Seminar,Phil Cardella,Gracie Jiu Jitsu,Berlin,CT,Saturday,01/31/2026,
Seminar,Brian Glick,Sig Sauer Academy,Epping,NH,Saturday,01/31/2026,
Comp,NAGA Grappling,,Tiverton,RI,Saturday,01/31/2026,
Women's Only,Chokes For Chicks,Pajama Strangle Time,Providence,RI,Sunday,02/01/2026,
Seminar,Edvaldo Maguila,Cesario Team Bjj,Leominster,MA,Sunday,02/01/2026,
Seminar,Eduardo Duda Dias,Gracie Barra,South Portland,ME,Sunday,02/01/2026,
Open Mat,Mega Mat Open Mat,Pajama Strangle Time,Providence,RI,Sunday,02/01/2026,
Open Mat,Chokes and Jokes,Pajama Strangle Time,Providence,RI,Thursday,02/05/2026,
Seminar,Priit Mihkelson,Greenwich Jiu Jiutsu Academy,Greenwich,CT,Friday,02/06/2026,
Seminar,Priit Mihkelson,Greenwich Jiu Jiutsu Academy,Greenwich,CT,Friday,02/06/2026,
Open House,1 Year Anivsry - Open Mat/Party,RedZone Jiu Jitsu,Monroe,CT,Friday,02/06/2026,
Seminar,Serge Bouyssou,Elevate Dojo,Exeter,RI,Saturday,02/07/2026,02/02/2026
Seminar,Eduardo Duda Dias,Gracie Barra,Peabody,MA,Saturday,02/07/2026,
Seminar,Junny Ocasio,Clandestine Submissions,Sanford,ME,Saturday,02/07/2026,
Seminar,Kevin Watson,Flow BJJ,Rockland,ME,Sunday,02/08/2026,
Comp,Gaman Mass Open,,Tyngsboro,MA,Sunday,02/08/2026,
Women's Only,Women’s Only Open Mat,Fenix BJJ,Woburn,MA,Saturday,02/14/2026,02/02/2026
Women's Only,Women’s Only Open Mat,Leverage Jiu Jitsu,Concord,NH,Saturday,02/14/2026,02/02/2026
Comp,Gaman Connecticut Open,,Newtown,CT,Saturday,02/14/2026,
Comp,United Grappling,,Danbury,CT,Sunday,02/15/2026,
Seminar,Roberto Maia,North Shore Bjj,Salem,MA,Saturday,02/21/2026,02/02/2026
Seminar,Meyram Maquine,BTT Boston,Everett,MA,Saturday,02/21/2026,
Seminar,Joel Bane,Technique BJJ,Prospect,CT,Saturday,02/21/2026,
Comp,World Championship Grappling,,Sturbridge,MA,Saturday,02/21/2026,
Comp,Grappling Industries,,Milford,NH,Saturday,02/21/2026,
Comp (Invite),Combat Zone 91,,Manchester,NH,Saturday,02/21/2026,
Seminar,Gabriel Sousa,RedZone Jiu Jitsu,Monroe,CT,Sunday,02/22/2026,
Women's Only,Women’s Only Open Mat,Gate City MMA,Nashua,NH,Sunday,02/22/2026,
Seminar,Joel Bane,Technique BJJ,Prospect,CT,Sunday,02/22/2026,
Open Mat,Winter Open Mat + Potluck,Black Wolf Martial Arts,Madison,CT,Sunday,02/22/2026,02/02/2026
Seminar,Placido Santos,First Colony BJJ,Marblehead,MA,Monday,02/23/2026,
Women's Only,Mat Sisters - Women’s Open Mat,Team Lawton Martial Arts,Farmingdale,ME,Friday,02/27/2026,02/02/2026
Seminar,Anderson Silverio - White Belt Only,Team Forsa,Woburn,MA,Saturday,02/28/2026,
Seminar,Alex West,Integrated Martial Arts,Worcester,MA,Saturday,02/28/2026,
Comp (Invite),Imperium Jiu Jitsu Tournament,Imperium Martial Arts,North Reading,MA,Saturday,02/28/2026,
Comp,NAGA Grappling,,Hanover,MA,Saturday,02/28/2026,
Women's Only,True Strength Advanced Only,FITE Fit ,Glastonbury,CT,Saturday,03/07/2026,02/02/2026
Comp (Invite),TLP Saint Patrick’s Grappling Clash,,Windsor,CT,Saturday,03/07/2026,
Kids Event,Free Jiu Jitsu Seminar,Steeple City Jiu Jitsu,North Adams,MA,Saturday,03/07/2026,
Women's Only,Mayara Custodio - Seminar,Renzo Gracie Academy,Smithfield,RI,Sunday,03/08/2026,
Comp,Fuji BJJ,,Wakefield,MA,Sunday,03/08/2026,
Seminar,Luke Griffith,BSF,Boston,MA,Saturday,03/14/2026,02/02/2026
Seminar,Wellington Megaton Dias,Sardinha BJJ,Hyannis,MA,Saturday,03/14/2026,
Seminar,Luke Griffith,Blood Sweat and Tears,Peabody,MA,Sunday,03/15/2026,02/02/2026
Comp,United Grappling,,Boston,MA,Sunday,03/15/2026,
Seminar,Greg Souders,South Boston BJJ,Boston,MA,Saturday,03/21/2026,02/02/2026
Seminar,Marcus Buchecha,Daniel Gracie Academy,Northborough,MA,Saturday,03/21/2026,
Comp,United Grappling,,Derry,NH,Saturday,03/28/2026,
Women's Only,Women’s Only Open Mat,Gate City MMA,Nashua,NH,Sunday,03/29/2026,
Comp,Grappling Industries,,Boston,MA,Saturday,04/04/2026,
Comp,Grappling Industries,,Warwick,RI,Saturday,04/11/2026,
Women's Only,True Strength All Levels Event,Technique BJJ,Prospect,CT,Sunday,04/19/2026,
Comp,Tap Cancer Out,,Fairfield,CT,Saturday,05/02/2026,
Comp,IBJJF Boston Spring Open,,Boston,MA,Saturday,05/09/2026,
Comp,IBJJF Boston Spring Open,,Boston,MA,Sunday,05/10/2026,
Comp,Grappling Industries,,Milford,NH,Saturday,05/23/2026,
Kids Event,Black Fly Kids Northeast Comp,,Rangeley,ME,Sunday,06/21/2026,
Comp,Grappling Industries,,Boston,MA,Saturday,07/11/2026,
Comp,New Breed Jiu Jitsu,,Newtown,CT,Saturday,07/18/2026,
