STATE,CITY,NAME,IG,SAT,SUN,OTA,CREATED,LAT,LON
Connecticut,Higganum,Kairos Jiu Jitsu,kairosjiujitsu,,10:00AM,,,41.490703,-72.557768
Massachusetts,Billerica,Snake Pit Boston,snakepitboston,,,,,42.559674,-71.260948
Massachusetts,Ludlow,Team Link Ludlow,teamlinkludlow,,,,,42.183577,-72.457812
Massachusetts,Pittsfield,Dosier Jiu Jitsu,dosierjiujitsu,,,,,42.45184,-73.260685
Rhode Island,West Warwick,Fight Factory RI,fightfactoryri,,,,,41.679601,-71.521114
Vermont,White River Junction,Upper Valley BJJ,uppervalleybjj,,,,,43.650026,-72.329173
New Hampshire,East Hampstead,Limitless Pride,limitlesspride,,10:30AM,y,,42.881061,-71.171883
Massachusetts,Fitchburg,Newaza BJJ Club,newazajiujitsu,,,,,42.601977,-71.81587
Massachusetts,Springfield,Vaca BJJ & MMA,vacabjjmma_gym,9:30AM,,,,42.115454,-72.539978
Massachusetts,Waltham,Watch City MMA,watch_city_mma,,,,,42.388921,-71.242268
Maine,Bar Harbor,Bar Harbor BJJ,bar_harbor_bjj,,,y,,44.39747,-68.263808
New Hampshire,Manchester,Burgess MMA,youtalkwetrain,,10:00AM,,,42.984941,-71.444131
New Hampshire,Nashua,Triumph BJJ,teamtriumphbjj,,,,,42.749074,-71.490544
Maine,Portland,Recon MMA,recon.portland,9:00AM,9:00AM,,,43.633157,-70.185305
Massachusetts,West Boylston,Integrated Martial Arts,ima.worcester,,10:00AM,,,42.369417,-71.785036
Rhode Island,Providence,Tim Burrill BJJ,timburrillbjj,11:30AM,,,,41.823056,-71.418784
Rhode Island,Jamestown,Ocean State BJJ,oceanstatebjj,,,,,41.51973,-71.371076
Connecticut,Manchester,Manchester BJJ,manchesterbjj,,,,,41.77524,-72.524434
Connecticut,Waterford,Crossroads BJJ,crossroadsbjj,,,,,41.351686,-72.146834
Massachusetts,Peabody,Gentle Art Dojo,gadnorthshore,,10:00AM,,,42.53431,-70.969443
Connecticut,Prospect,Technique Brazilian Jiu-Jitsu,technique_bjj,,,,,41.499247,-72.975634
Massachusetts,Worcester,Worcester MMA,worcester_mma,,10:00AM,,,42.269478,-71.807783
Massachusetts,Chelmsford,Gentle Art Dojo,gadchelmsford,,,,,42.597055,-71.3697
Connecticut,West Hartford,Underdog MMA,underdogmmact,,11:00AM,,,41.766568,-72.754944
Connecticut,West Hartford,Underdog MMA,underdogmmact,,6:00PM,,,41.766568,-72.754944
Massachusetts,Wakefield,Defensive Edge Martial Arts,defensiveedge,,11:15AM,,,42.504361,-71.064061
Maine,Augusta,Black Bear BJJ & Fitness,blackbear_bjj,,5:00PM,,,44.334904,-69.734199
Maine,Rockland,Flow Brazilian Jiu Jitsu,flowbjj_maine,10:00AM,,,,44.123883,-69.130452
Massachusetts,North Attleboro,Monkey King Martial Arts,monkeykingmmx,,,,,41.970454,-71.33493
Massachusetts,Woburn,FUJI Martial Arts Woburn,fujima_woburn,,,,,42.488703,-71.154383
Massachusetts,Salem,North Shore BJJ Academy,northshorebjj,,,,,42.499248,-70.898204
New Hampshire,North Hampton,Heavy Mettle Jiu Jitsu,heavymettlejj,,8:30AM,n,,42.979934,-70.829441
Connecticut,South Windsor,CT Jiujitsu Kobukai ,kobukai_jj_sw,,,,,41.83809,-72.577836
Massachusetts,Marlborough,Fight For Life BJJ,fight4lifebjj,,,,,42.349617,-71.547214
Connecticut,Stamford,Cesar Pereira BJJ,bjjstamfordct,,,,,41.079611,-73.54608
Massachusetts,Gloucester,Sakura Jiu Jitsu,sakura_bjj_ma,,,,,42.62885,-70.685875
Massachusetts,Attleboro,Ronin Jiu-Jitsu,roninjiujitsu,10:00AM,10:00AM,,,41.931653,-71.294503
Massachusetts,Fitchburg,ZTeam Jiu-Jitsu,zteamjiujitsu,10:00AM,10:00AM,,,42.601977,-71.81587
Maine,Ellsworth,Rolls Jiu Jitsu,rollsjiujitsu,10:00AM,,,,44.58293,-68.480094
Rhode Island,Smithfield,Renzo Gracie RI,renzogracieri,10:30AM,,,,41.900945,-71.52889
Connecticut,New Haven,Ronin New Haven,roninnewhaven,11:30AM,,,,41.310809,-72.924953
Connecticut,Windham,Frog Bridge MMA,frogbridgemma,,,,,41.714475,-72.168667
Massachusetts,Haverhill,Binda Jiu Jitsu,bindajiujitsu,,,,,42.782945,-71.087436
Massachusetts,Peabody,BTT New England,bttnewengland,,,,,42.53431,-70.969443
Rhode Island,East Providence,EP Martial Arts,epmartialarts,10:00AM,5:00PM,,,41.800433,-71.359258
Maine,Portland,Stonecoast BJJ,stonecoastbjj,10:45AM,,,,43.633157,-70.185305
Rhode Island,Providence,Providence BJJ,providencebjj,11:30AM,6:00PM,y,,41.823056,-71.418784
Connecticut,Danbury,TMC BJJ School,tmcdanburybjj,,,,,41.398741,-73.478103
Massachusetts,Norwell,Kaizen Norwell,kaizennorwell,,,,,42.164569,-70.818844
