EVENT,FOR,WHERE,CITY,STATE,DAY,DATE,CREATED
Kids Event,Kids “Kumite” Tournamet,Vermont BJJ Academy,Williston,Vermont,Saturday,12/06/2025,
Comp (Invite),World Championship Grappling,,Sturbridge,Massachusetts,Saturday,12/06/2025,
Comp (Invite),Boston University Invitational,Boston University,Boston,Massachusetts,Saturday,12/06/2025,
Women's Only,Women’s Only Open Mat,Radius Martial Arts,Fairfield,Connecticut,Sunday,12/07/2025,
Seminar,Marcelo Siqueira,Off Your Back Academy,Londonderry,New Hampshire,Sunday,12/07/2025,
Open Mat,Mega Mat Open Mat,Playground JiuJitsu,E. Providence,Rhode Island,Sunday,12/07/2025,
Seminar,Pete The Greek Letsos,Team Santos,Pawtucket,Rhode Island,Tuesday,12/09/2025,
Seminar,Rodrigo Gracie,Royce Gracie Academy,Glastonbury,Connecticut,Wednesday,12/10/2025,
Seminar,Pete The Greek Letsos,Worcester MMA,Worcester,Massachusetts,Thursday,12/11/2025,
Women's Only,Women’s Only Open Mat,Fenix BJJ,Woburn,Massachusetts,Saturday,12/13/2025,
Seminar,Jean “Dalua” Cartagena,Integrated Martial Arts,Worcester,Massachusetts,Saturday,12/13/2025,
Seminar,Robert Correa & Celsinho Vinicus,Renzo Gracie Academy,Smithfield,Rhode Island,Saturday,12/13/2025,
Comp (Invite),Super Fight for a Cause,,Hyannis,Massachusetts,Saturday,12/13/2025,
Women's Only,Women’s Only Open Mat,Balance Point BJJ,Milford,New Hampshire,Sunday,12/14/2025,
Seminar,Gabriel Gonzaga,Vaca BJJ,W. Springfield,Massachusetts,Sunday,12/14/2025,
Seminar,Mayara Custodio,Blue Collar Jiu Jitsu,Mendon,Massachusetts,Sunday,12/14/2025,
Open Mat,Holiday Open Mat,Connecticut Submission Grappling,Bridgeport,Connecticut,Friday,12/19/2025,
Women's Only,Women’s Only Open Mat,Nostros MMA,Somersworth,New Hampshire,Saturday,12/20/2025,
Seminar,Fernanda and Michelle,Defensive Edge MMA,Wakefield,Massachusetts,Saturday,12/20/2025,
Open House,1 Year Anivsry - Open Mat/BBQ,Atom JiuJitsu,Newton,Massachusetts,Saturday,12/20/2025,
Seminar,Joe Moreira,Team Moreira,Biddeford,Maine,Sunday,12/21/2025,
Open Mat,Holiday Open Mat,The Dojo,Westport,Connecticut,Wednesday,12/24/2025,
Open Mat,Christmas Eve Open Mat,Burgess MMA,Manchester,New Hampshire,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Connors Martial Arts Academy,Norwood,Massachusetts,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Team Flo,Tyngsboro,Massachusetts,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,South Boston BJJ,Boston,Massachusetts,Wednesday,12/24/2025,
Open Mat,Christmas Eve Open Mat,Gentle Art Dojo,Littleton,Massachusetts,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Connecticut Submission Grappling,Bridgeport,Connecticut,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Precision Jiujitsu,Hudson,New Hampshire,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Radius Martial Arts,Fairfield,Connecticut,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Primal Jiujitsu,Derry,New Hampshire,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Atom JiuJitsu,Newton,Massachusetts,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Pajama Strangle Time,Providence,Rhode Island,Wednesday,12/24/2025,
Open Mat,Christmas Eve Open Mat,CT Combat Training Center,Oakville,Connecticut,Wednesday,12/24/2025,
Open Mat,Christmas Eve Open Mat,Giannetti Martial Arts,Whitman,Massachusetts,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Balance Point BJJ,Milford,New Hampshire,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Unit 232,Littleton,Massachusetts,Wednesday,12/24/2025,
Open Mat,Holiday Open Mat,Connors Martial Arts Academy,Norwood,Massachusetts,Thursday,12/25/2025,
Open Mat,Holiday Open Mat,South Boston BJJ,Boston,Massachusetts,Thursday,12/25/2025,
Open Mat,Holiday Open Mat,Connecticut Submission Grappling,Bridgeport,Connecticut,Thursday,12/25/2025,
Open Mat,Holiday Open Mat,Unit 232,Littleton,Massachusetts,Thursday,12/25/2025,
